                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.2451,                 0.7152,                 1.1051,                 0.7839,                0.49724,                0.54048,                0.29942,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                     39,                 1.2572,                0.71776,                  1.115,                0.79954,                0.51615,                0.53849,                0.29623,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                     40,                 1.2482,                0.71613,                 1.1206,                0.83905,                0.51138,                0.55267,                0.32648,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                     41,                 1.2397,                0.71173,                 1.1086,                0.84357,                0.51431,                0.54937,                0.31573,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                     42,                 1.2399,                0.70853,                 1.1091,                0.82679,                0.50463,                0.54217,                 0.3097,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                     43,                  1.213,                0.67941,                 1.0947,                0.81439,                0.51975,                0.54738,                0.31281,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                     44,                  1.223,                 0.6943,                 1.1018,                0.80304,                  0.536,                0.55935,                 0.3234,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                     45,                 1.2163,                0.68687,                 1.0961,                0.83656,                0.51984,                0.54725,                0.32076,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                     46,                 1.2012,                0.67808,                 1.0912,                0.85083,                0.51875,                0.55188,                0.32147,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                     47,                 1.1922,                0.66559,                 1.0855,                0.84284,                0.50974,                0.55451,                0.32217,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                     48,                 1.2047,                0.66815,                 1.0871,                0.86319,                0.51281,                0.56153,                0.32591,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
                     49,                  1.188,                0.65966,                 1.0794,                0.85747,                 0.5104,                0.55629,                 0.3227,                    nan,                    nan,                    nan,               0.005248,               0.005248,               0.005248
                     50,                 1.1779,                0.66172,                  1.074,                0.84965,                 0.5246,                0.56198,                0.32821,                    nan,                    nan,                    nan,               0.005149,               0.005149,               0.005149
                     51,                 1.1755,                0.65249,                 1.0671,                0.86216,                0.50691,                0.55398,                0.31759,                    nan,                    nan,                    nan,                0.00505,                0.00505,                0.00505
                     52,                 1.1733,                 0.6574,                 1.0736,                0.85604,                0.52048,                0.55784,                0.32675,                    nan,                    nan,                    nan,               0.004951,               0.004951,               0.004951
                     53,                 1.1709,                0.65176,                 1.0703,                0.83807,                0.53238,                0.56329,                  0.332,                    nan,                    nan,                    nan,               0.004852,               0.004852,               0.004852
                     54,                 1.1626,                0.64465,                 1.0685,                0.84295,                0.50699,                0.55397,                0.31791,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                     55,                 1.1456,                0.63614,                 1.0595,                0.84509,                0.51215,                0.55419,                0.32068,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                     56,                 1.1426,                0.63039,                 1.0571,                0.84364,                0.50421,                0.55448,                 0.3111,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                     57,                 1.1583,                0.63738,                 1.0554,                0.85494,                0.50326,                0.55069,                0.31544,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                     58,                 1.1391,                0.62966,                 1.0555,                0.86719,                 0.5065,                  0.557,                0.32242,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                     59,                 1.1312,                0.61437,                 1.0541,                0.85707,                 0.5104,                0.55603,                0.31875,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                     60,                  1.136,                0.62569,                 1.0505,                0.83791,                0.50583,                0.54629,                0.31616,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                     61,                 1.1301,                0.61702,                 1.0459,                0.85539,                0.51026,                0.55859,                0.32405,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                     62,                 1.1133,                 0.6119,                 1.0425,                 0.8427,                 0.5018,                0.55233,                0.31955,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                     63,                 1.1071,                0.59808,                 1.0354,                0.86386,                0.49697,                0.55572,                0.32839,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                     64,                 1.1068,                0.59793,                 1.0388,                0.82359,                0.51909,                0.55715,                0.32728,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                     65,                 1.1027,                0.59771,                 1.0376,                0.81795,                0.52909,                 0.5597,                0.32634,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
